epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86644,1.19178,7.96904,1.41333,0.81967,0.08333,0.15662,0.14054,0.9605,8.11475,1.34185,0.082,0.002,0.002
2,12.3962,0.81016,3.00944,1.15047,0.59468,0.57045,0.69144,0.61914,0.61096,1.5286,1.14961,0.0630594,0.00405941,0.00405941
3,18.1075,0.67805,2.04165,1.11336,0.49897,0.5809,0.658,0.51279,1.00364,1.70418,1.30766,0.0440772,0.00607724,0.00607724
4,23.6867,0.70013,1.68035,1.09557,0.35126,0.25982,0.30425,0.20129,1.47707,3.1382,1.88736,0.0250535,0.00805349,0.00805349
5,29.2945,0.72116,1.40057,1.05766,0.48424,0.43999,0.45826,0.35694,1.35685,1.67026,1.52925,0.009604,0.009604,0.009604
6,34.9886,0.72276,1.30947,1.01105,0.59201,0.39219,0.4648,0.31947,1.29254,2.68664,1.23515,0.009505,0.009505,0.009505
7,40.6959,0.7566,1.22243,1.05301,0.66499,0.34785,0.43513,0.29266,1.75595,2.29026,2.0023,0.009406,0.009406,0.009406
8,46.1213,0.74355,1.08865,1.05493,0.85619,0.63847,0.73545,0.57033,0.75398,0.9208,0.94497,0.009307,0.009307,0.009307
9,51.5066,0.77433,1.08902,1.08617,0.38971,0.55957,0.53802,0.42614,1.64767,2.07829,1.53588,0.009208,0.009208,0.009208
10,57.2119,0.7748,1.02032,1.068,0.67767,0.57077,0.56555,0.34968,1.21606,2.39135,1.39954,0.009109,0.009109,0.009109
11,62.7221,0.72138,0.94295,1.04169,0.75523,0.10833,0.17287,0.06673,2.14421,3.58317,2.42816,0.00901,0.00901,0.00901
12,68.205,0.75574,1.04593,1.08306,0.76732,0.72689,0.80715,0.59974,0.72061,2.3652,0.95567,0.008911,0.008911,0.008911
13,73.5365,0.71511,0.94275,1.02907,0.90583,0.7043,0.77648,0.58684,0.93828,0.95713,1.0308,0.008812,0.008812,0.008812
14,79.2239,0.7668,0.94459,1.05277,0.84673,0.84159,0.89479,0.69912,0.82406,0.83048,0.90879,0.008713,0.008713,0.008713
15,84.6884,0.69626,0.80837,1.00454,0.76956,0.72462,0.76848,0.64264,0.98911,1.06893,0.99977,0.008614,0.008614,0.008614
16,90.0377,0.71724,0.85012,1.0538,0.73272,0.65072,0.74824,0.58674,0.70708,1.43585,0.94974,0.008515,0.008515,0.008515
17,95.6788,0.71254,0.87558,1.04908,0.87294,0.69858,0.78467,0.60398,0.89145,1.16869,1.05004,0.008416,0.008416,0.008416
18,101.188,0.72771,0.77968,1.04963,0.91153,0.67828,0.76084,0.5982,0.83796,0.79198,0.97734,0.008317,0.008317,0.008317
19,106.505,0.71821,0.81947,1.05029,0.87137,0.88306,0.95123,0.76954,0.69324,0.63177,0.86606,0.008218,0.008218,0.008218
