epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65793,1.28265,8.08576,1.51112,0.22026,0.25837,0.22734,0.20768,0.85331,5.92305,1.20371,0.0829,0.0019,0.0019
2,8.50318,0.79531,3.17202,1.14418,0.43077,0.52125,0.58737,0.54951,0.72065,1.94793,1.14364,0.0648614,0.00386139,0.00386139
3,12.3474,0.6426,1.85542,1.08631,0.61235,0.6957,0.73097,0.66719,0.66418,1.62885,1.15382,0.0467832,0.00578318,0.00578318
4,16.1806,0.61061,1.47414,1.05791,0.55302,0.62256,0.66608,0.59481,0.79279,1.91418,1.22714,0.0286654,0.00766537,0.00766537
5,19.9741,0.65474,1.43912,1.06389,0.58919,0.55638,0.67408,0.5216,0.9685,1.61626,1.31445,0.010508,0.00950796,0.00950796
6,23.7706,0.7141,1.4755,1.06542,0.63488,0.52628,0.56576,0.36587,1.55551,3.18813,1.69843,0.009505,0.009505,0.009505
7,27.5634,0.79748,1.29563,1.08524,0.46925,0.16474,0.20738,0.11494,2.01641,3.41242,2.38195,0.009406,0.009406,0.009406
8,31.3538,0.76942,1.27357,1.10462,0.54863,0.15143,0.20129,0.13735,2.11818,4.14704,2.2757,0.009307,0.009307,0.009307
9,35.1359,0.74444,1.13795,1.07925,0.97496,0.16667,0.30844,0.21317,2.14189,4.37123,2.53085,0.009208,0.009208,0.009208
10,38.9244,0.73907,1.10204,1.05859,0.75584,0.45599,0.5855,0.45022,1.29049,1.99797,1.6048,0.009109,0.009109,0.009109
11,42.7186,0.75571,1.08779,1.0902,0.55824,0.71063,0.67438,0.54886,1.1047,1.4449,1.54868,0.00901,0.00901,0.00901
12,46.5059,0.83608,1.12473,1.12112,0.7537,0.55566,0.68395,0.55631,0.96658,1.50541,1.35683,0.008911,0.008911,0.008911
13,50.2866,0.76207,0.90661,1.08723,0.64978,0.77031,0.78344,0.65556,0.90444,1.48383,1.30506,0.008812,0.008812,0.008812
14,54.0768,0.74452,0.98043,1.0865,0.71216,0.71386,0.75583,0.5994,1.04016,1.74845,1.39575,0.008713,0.008713,0.008713
15,57.8651,0.71137,0.89248,1.04455,0.70695,0.86333,0.86075,0.66561,0.94627,1.07187,1.33828,0.008614,0.008614,0.008614
16,61.6573,0.75698,0.93315,1.08282,0.89505,0.94776,0.97605,0.82461,0.69841,0.75009,1.09683,0.008515,0.008515,0.008515
17,65.4778,0.69352,0.74635,1.03446,0.92183,0.89058,0.95462,0.7997,0.77188,0.68311,1.09396,0.008416,0.008416,0.008416
18,69.2779,0.68176,0.82421,1.03916,0.51908,0.59586,0.65906,0.50706,1.02639,2.20714,1.37136,0.008317,0.008317,0.008317
19,73.0597,0.74953,0.82519,1.06993,0.75103,0.84438,0.87864,0.71203,0.86519,0.88155,1.26645,0.008218,0.008218,0.008218
20,76.8444,0.67941,0.82809,1.05062,0.79498,0.73721,0.78439,0.63869,0.86174,1.26421,1.28345,0.008119,0.008119,0.008119
21,80.6379,0.7027,0.76369,1.04877,0.82877,0.88141,0.9271,0.77787,0.69059,0.87856,1.11878,0.00802,0.00802,0.00802
22,84.4362,0.67865,0.75191,1.04479,0.71769,0.90394,0.90263,0.705,0.81851,1.04271,1.28911,0.007921,0.007921,0.007921
23,88.2248,0.80847,0.81334,1.1414,0.83604,0.7902,0.83276,0.68237,0.8831,0.99634,1.30273,0.007822,0.007822,0.007822
24,92.0111,0.70367,0.77812,1.04813,0.89376,0.76281,0.80887,0.70133,0.78709,1.40526,1.17374,0.007723,0.007723,0.007723
25,95.801,0.7178,0.76756,1.06467,0.96666,0.48652,0.74966,0.56316,0.92078,1.37821,1.28947,0.007624,0.007624,0.007624
26,99.6075,0.67498,0.7666,1.03683,0.95046,0.63816,0.71682,0.59368,0.94759,1.15678,1.32836,0.007525,0.007525,0.007525
27,103.401,0.6424,0.6848,1.03016,0.79726,0.25253,0.28899,0.16155,1.88187,3.45663,2.21191,0.007426,0.007426,0.007426
28,107.196,0.64006,0.65104,1.03222,0.89678,0.23511,0.4655,0.20724,2.03396,4.13322,2.3355,0.007327,0.007327,0.007327
29,110.99,0.68098,0.68475,1.03696,0.83193,0.69482,0.7871,0.60001,1.04071,1.09931,1.32757,0.007228,0.007228,0.007228
30,114.792,0.65455,0.69505,1.02348,0.57536,0.77324,0.75384,0.60362,1.02836,1.09075,1.38598,0.007129,0.007129,0.007129
